City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1821,Batticaloa,LK,80.74,Clear,7.7102,81.6924,Grand Star Guest House
1823,Savannakhet,LA,84.97,Clouds,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์ (Riverfront Hotel)
1828,Bindura,ZW,76.01,Clouds,-17.3019,31.3306,Mayfair Lodges and Restaurant
1838,San Carlos,VE,75.97,Clouds,9.6612,-68.5827,Hotel Paternopoli
1844,Gisborne,NZ,84.94,Clear,-38.6533,178.0042,ASURE Alfresco Motor Lodge
1845,Manaure,CO,76.8,Clear,11.7751,-72.4445,Hotel Palaaima
1847,Amparafaravola,MG,75.36,Clouds,-17.5833,48.2167,Aina Franco
1850,Nagpur,IN,75.22,Haze,21.15,79.1,Hotel Siddhartha Inn
1864,Morayfield,AU,80.2,Clouds,-27.1167,152.95,Caboolture Riverlakes Motel
1871,Sulangan,PH,77.34,Clouds,11.1373,123.7228,Maia's Beach Resort
1874,Nang Rong,TH,83.32,Clouds,14.6377,102.7914,Phanomrungpuri Boutique Hotels & Resorts
1875,Sibu,MY,80.47,Rain,2.3,111.8167,RH HOTEL (4 Star)
1877,Mahibadhoo,MV,81.32,Clouds,3.7833,72.9667,Omadhoo Inn
1889,Kagadi,UG,76.96,Clouds,0.9606,30.7967,ADNEC MOTEL
1906,Santiago Del Estero,AR,77.13,Clouds,-27.7951,-64.2615,Apartamentos Castelli 90
1909,Curup,ID,75.15,Clouds,-3.4667,102.5333,Ayi The Costel
1913,Amuntai,ID,85.53,Clouds,-2.4177,115.2494,Hotel Balqis
1915,Palapye,BW,76.42,Clouds,-22.546,27.1251,Camp Itumela
1927,Wajir,KE,81.3,Clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
1930,Lindi,TZ,81.75,Clouds,-10.0,39.7167,Lindi paradise house
1931,Gorontalo,ID,83.73,Clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
1933,Puruliya,IN,76.5,Clouds,23.3333,86.3667,Hotel Akash Ganga
1934,Thohoyandou,ZA,76.64,Clear,-22.9456,30.485,Masili Guesthouse & Conference
1950,Howard Springs,AU,80.87,Clouds,-12.497,131.047,buffalo beach hostel
1953,Pivijay,CO,78.89,Clear,10.4617,-74.6162,Hospedaje La Posada
1955,Bajil,YE,77.54,Clear,15.0584,43.2851,فندق حضرموت
1960,Finschhafen,PG,85.08,Clouds,-6.6024,147.8681,Cossam Guest House
1964,Loiza,PR,76.86,Clouds,18.4313,-65.8802,Malibu Beachfront
1965,Sawakin,SD,75.13,Clouds,19.1059,37.3321,فندق الدويم
1980,Lethem,GY,77.16,Clouds,3.3803,-59.7968,Savannah Inn
1990,Tak,TH,83.91,Clouds,16.5833,98.8333,ไร่เคียงตะวัน ณ ม่อนหมอกตะวัน
1992,Carmen,MX,76.91,Clear,18.6333,-91.8333,Hotel Lossandes
1993,Tabug,PH,87.48,Clear,18.0343,120.5488,Sikatel Hotel
