City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
345,Asau,RO,46.4333,26.4,22.28,90,27,6.08,Clouds
346,Byron Bay,AU,-28.65,153.6167,76.95,69,75,23.49,Rain
347,Hun,LY,29.1268,15.9477,44.96,85,0,4.14,Clear
348,Lavrentiya,RU,65.5833,-171.0,1.6,55,0,22.28,Clear
349,Yulara,AU,-25.2406,130.9889,85.84,23,90,12.66,Clouds
350,Kruisfontein,ZA,-34.0033,24.7314,64.89,72,83,9.84,Clouds
351,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,70.11,96,100,6.13,Rain
352,Diffa,NE,13.3154,12.6113,56.05,20,1,10.2,Clear
353,Namibe,AO,-15.1961,12.1522,69.93,79,26,4.32,Clouds
354,Sayansk,RU,54.1088,102.1648,6.28,90,91,2.06,Clouds
355,Tuatapere,NZ,-46.1333,167.6833,49.19,90,100,3.69,Clouds
356,San Carlos De Bariloche,AR,-41.1456,-71.3082,58.75,63,20,6.91,Clouds
357,Caravelas,BR,-17.7125,-39.2481,75.67,91,98,4.09,Clouds
358,Okha,RU,53.5739,142.9478,4.68,91,100,21.36,Clouds
359,Balbalan,PH,17.4414,121.2019,69.75,79,86,4.7,Clouds
360,Skerries,IE,53.5828,-6.1083,39.09,81,98,20.67,Clouds
361,Dunedin,NZ,-45.8742,170.5036,51.04,94,100,7.96,Rain
362,Novocheboksarsk,RU,56.111,47.4776,18.16,93,100,8.95,Snow
363,Gallatin,US,45.6666,-111.2008,30.0,74,100,0.0,Clouds
364,Ilhabela,BR,-23.7781,-45.3581,75.22,92,94,7.61,Clouds
365,Luderitz,NA,-26.6481,15.1594,70.2,64,3,12.91,Clear
366,Bull Savanna,JM,17.8868,-77.5902,71.2,85,2,5.77,Clear
367,Pakxan,LA,18.3778,103.6601,85.01,37,51,4.97,Clouds
368,Tamandare,BR,-8.7597,-35.1047,78.37,71,94,6.85,Clouds
369,Batagay,RU,67.6333,134.6333,-32.51,99,61,2.21,Clouds
370,Yanam,IN,16.7333,82.2167,81.0,51,44,7.07,Clouds
371,Pontianak,ID,-0.0333,109.3333,87.78,66,75,4.61,Clouds
372,Lompoc,US,34.6391,-120.4579,54.12,86,20,3.44,Mist
373,Vuktyl,RU,63.8567,57.3094,14.65,95,100,6.08,Snow
374,Boddam,GB,57.4667,-1.7833,37.38,70,36,18.23,Clouds
375,Payo,ID,-3.7508,103.6372,81.09,88,70,3.76,Clouds
376,Codajas,BR,-3.8367,-62.0569,71.76,99,96,0.65,Clouds
377,Jardim,BR,-21.4803,-56.1381,73.35,97,100,5.57,Clouds
378,Pemba,MZ,-12.974,40.5178,80.33,76,100,7.05,Clouds
379,Ziarat,PK,30.3823,67.7282,44.26,13,0,9.51,Clear
380,Ermelo,ZA,-26.5333,29.9833,61.56,94,100,4.61,Rain
381,Socorro,US,31.6546,-106.3033,29.88,66,0,4.61,Clear
382,San Policarpo,PH,12.1791,125.5072,75.72,85,100,7.72,Clouds
383,Libourne,FR,44.9167,-0.25,48.7,91,100,5.66,Clouds
384,Saint-Francois,FR,46.4154,3.9054,42.24,82,100,4.61,Clouds
385,Oktyabrskoye,RU,43.0645,44.7417,28.54,93,100,6.71,Clouds
386,Mbini,GQ,1.574,9.6134,76.84,81,100,4.59,Clouds
387,Sao Raimundo Nonato,BR,-9.0153,-42.6994,72.1,63,73,1.12,Clouds
388,Kirakira,SB,-10.4544,161.9205,78.96,88,100,12.21,Clouds
389,Kathu,TH,7.9178,98.3332,92.62,69,21,12.71,Clouds
390,Angren,UZ,41.0167,70.1436,39.67,38,1,9.42,Clear
391,Kutum,SD,14.2,24.6667,55.45,21,19,16.89,Clouds
392,Blind River,CA,46.1834,-82.9582,-0.29,83,3,7.18,Clear
393,Galle,LK,6.0367,80.217,82.17,64,15,4.79,Clouds
394,Zhigansk,RU,66.7697,123.3711,-26.43,97,85,3.58,Clouds
395,Miyang,CN,24.4042,103.4428,59.85,61,72,7.61,Clouds
396,Outjo,NA,-20.1167,16.15,69.04,53,60,1.59,Clouds
397,Saint-Georges,GD,12.0564,-61.7485,76.68,78,40,9.22,Clouds
398,Chipata,ZM,-13.6333,32.65,66.96,94,100,5.99,Rain
399,Ilulissat,GL,69.2167,-51.1,17.62,86,75,19.57,Snow
400,Burgstadt,DE,50.9167,12.8167,40.37,87,100,12.68,Clouds
401,Oranjestad,AW,12.524,-70.027,78.75,83,40,13.8,Clouds
402,Longyearbyen,SJ,78.2186,15.6401,15.64,73,75,11.5,Clouds
403,Abashiri,JP,44.0213,144.2697,23.29,86,75,5.75,Clouds
404,Quirinopolis,BR,-18.4483,-50.4517,71.24,91,96,1.81,Clouds
405,San Rafael,AR,-34.6177,-68.3301,65.89,71,100,6.4,Clouds
406,Krasnofarfornyy,RU,59.1364,31.8502,-6.97,100,100,2.28,Clouds
407,Okhotsk,RU,59.3833,143.3,10.69,73,81,14.79,Clouds
408,Grevesmuhlen,DE,53.8667,11.1833,44.11,95,100,15.93,Clouds
409,Kamsack,CA,51.5667,-101.9009,-17.95,99,91,6.51,Clouds
410,Cayenne,GF,4.9333,-52.3333,79.09,88,75,5.01,Clouds
411,Portobelo,PA,9.55,-79.65,76.86,87,16,11.74,Clouds
412,Guymon,US,36.6828,-101.4816,3.2,78,0,8.05,Clear
413,Nogliki,RU,51.8333,143.1667,6.75,93,100,19.51,Snow
414,Abnub,EG,27.2696,31.1511,52.02,49,2,15.28,Clear
415,Pontes E Lacerda,BR,-15.2261,-59.3353,70.81,97,100,2.68,Rain
416,Morant Bay,JM,17.8815,-76.4093,76.62,83,7,8.63,Clear
417,Lillooet,CA,50.6856,-121.942,29.12,94,67,4.25,Clouds
418,Pangnirtung,CA,66.1451,-65.7125,-15.7,100,100,0.51,Clouds
419,Tecoanapa,MX,16.5167,-98.75,71.47,77,0,4.9,Clear
420,Bonavista,CA,48.6499,-53.1147,39.11,95,100,18.97,Rain
421,Meadow Lake,US,34.8014,-106.5436,20.12,76,14,2.95,Clouds
422,Beloha,MG,-25.1667,45.05,85.15,55,4,11.32,Clear
423,Toora-Khem,RU,52.4675,96.11,1.24,88,89,1.79,Clouds
424,Kodinsk,RU,58.6881,99.1844,15.44,92,100,7.02,Snow
425,Amnat Charoen,TH,15.9167,104.75,87.39,37,65,16.73,Clouds
426,Ornskoldsvik,SE,63.2909,18.7153,31.82,100,100,24.16,Snow
427,Angoche,MZ,-16.2325,39.9086,81.64,74,94,3.24,Clouds
428,Semey,KZ,50.4111,80.2275,-0.18,78,0,11.18,Clear
429,Navan,IE,53.6528,-6.6814,38.55,87,89,12.08,Clouds
430,Pisco,PE,-13.7,-76.2167,68.05,77,0,9.22,Clear
431,La Asuncion,VE,11.0333,-63.8628,85.73,66,1,14.97,Clear
432,Marzuq,YE,14.4,46.4667,71.64,18,29,0.54,Clouds
433,Hoquiam,US,46.9809,-123.8893,45.09,95,100,0.0,Mist
434,Satulung,RO,47.5667,23.4333,23.2,93,98,5.75,Clouds
435,Russell,US,32.3502,-85.1999,68.13,93,100,9.22,Clouds
436,Valle Nacional,MX,17.7833,-96.3167,70.41,99,64,3.69,Clouds
437,Mabaruma,GY,8.2,-59.7833,71.94,94,51,2.77,Clouds
438,Talaya,RU,61.3833,152.75,-25.64,99,35,4.32,Clouds
439,Port-Cartier,CA,50.0334,-66.8654,1.62,82,100,7.54,Clouds
440,Jalu,LY,29.0331,21.5482,49.01,65,6,11.05,Clear
441,Bakchar,RU,57.0186,82.0711,15.08,87,89,11.01,Clouds
442,Saint-Paul,RE,-21.0096,55.2707,80.69,82,100,21.83,Rain
443,Los Barrios,ES,36.1848,-5.4921,60.64,67,0,11.5,Clear
444,Myaundzha,RU,63.0494,147.1858,-8.99,85,82,3.67,Clouds
445,Loikaw,MM,19.6742,97.2094,81.32,13,10,4.68,Clear
446,Mayo,US,38.8876,-76.5119,61.14,93,100,1.01,Clouds
447,Gorin,RU,51.1983,136.6669,2.61,88,100,0.76,Clouds
448,San Vicente,AR,-26.6167,-54.1333,67.86,100,100,1.43,Rain
449,Aykhal,RU,66.0,111.5,-17.32,100,98,2.55,Clouds
450,Ambulu,ID,-8.345,113.6058,85.39,65,98,7.09,Clouds
451,Shimoda,JP,34.6667,138.95,46.76,51,90,6.67,Clouds
452,Flinders,AU,-34.5833,150.8552,75.2,51,78,14.94,Clouds
453,Vila,PT,42.0304,-8.1588,42.33,87,100,0.85,Clouds
454,Santa Maria,BR,-29.6842,-53.8069,69.26,97,100,2.64,Clouds
455,Magistralnyy,RU,56.1725,107.4458,12.43,86,100,4.43,Clouds
456,Khandyga,RU,62.6667,135.6,-25.19,97,84,0.94,Clouds
457,Zeya,RU,53.75,127.2667,3.34,56,74,5.93,Clouds
458,Matay,EG,28.419,30.7792,50.83,53,5,16.31,Clear
459,Xining,CN,36.6167,101.7667,21.18,39,98,3.67,Clouds
460,Cockburn Town,TC,21.4612,-71.1419,75.4,72,3,20.74,Clear
