City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Port Alfred,ZA,2022-02-02 01:37:10,-33.5906,26.891,77.63,74,100,6.55
111,Codrington,AU,2022-02-02 01:28:30,-38.2667,141.9667,59.92,52,100,13.89
112,Henties Bay,NA,2022-02-02 01:30:42,-22.116,14.2845,66.85,83,85,2.89
113,Namatanai,PG,2022-02-02 01:32:00,-3.6667,152.4333,83.3,69,97,6.35
114,Aykhal,RU,2022-02-02 01:37:11,66.0,111.5,-21.17,100,11,2.53
115,Kahului,US,2022-02-02 01:37:12,20.8947,-156.47,82.42,65,40,18.41
116,Lyuban,BY,2022-02-02 01:37:12,52.7985,28.0048,21.88,95,99,10.25
117,Ziro,IN,2022-02-02 01:37:13,27.6333,93.8333,35.89,92,97,1.48
118,Kudahuvadhoo,MV,2022-02-02 01:31:58,2.6708,72.8944,82.71,76,2,14.52
119,East London,ZA,2022-02-02 01:37:14,-33.0153,27.9116,76.75,73,100,5.03
120,Churapcha,RU,2022-02-02 01:37:14,62.0025,132.4325,-18.71,93,100,4.83
121,Bahadurgarh,IN,2022-02-02 01:37:14,28.6833,76.9167,51.91,72,0,5.17
122,Thinadhoo,MV,2022-02-02 01:37:15,0.5333,72.9333,83.17,69,8,12.44
123,Vao,NC,2022-02-02 01:27:19,-22.6667,167.4833,78.31,82,100,19.95
124,Gat,IL,2022-02-02 01:34:21,31.61,34.7642,53.91,100,0,2.8
125,Saskylakh,RU,2022-02-02 01:37:16,71.9167,114.0833,-28.48,100,37,1.16
126,Souillac,MU,2022-02-02 01:35:32,-20.5167,57.5167,79.36,94,75,25.32
127,Clyde River,CA,2022-02-02 01:30:42,70.4692,-68.5914,-21.77,76,0,5.75
128,Bereda,ES,2022-02-02 01:33:11,43.2686,-7.5406,44.91,98,19,1.07
129,Kestel,TR,2022-02-02 01:37:17,40.1983,29.2124,51.28,90,100,5.48
130,Ucluelet,CA,2022-02-02 01:37:17,48.9329,-125.5528,43.09,84,30,4.27
131,Ribeira Grande,PT,2022-02-02 01:32:50,38.5167,-28.7,59.52,73,63,12.82
132,Domoni,KM,2022-02-02 01:37:18,-12.2569,44.5319,79.16,85,100,3.76
133,Hermanus,ZA,2022-02-02 01:34:51,-34.4187,19.2345,66.9,83,3,3.53
134,Ilulissat,GL,2022-02-02 01:26:12,69.2167,-51.1,3.22,55,100,4.61
135,Upernavik,GL,2022-02-02 01:31:55,72.7868,-56.1549,-13.7,75,100,5.77
136,Ancud,CL,2022-02-02 01:28:31,-41.8697,-73.8203,59.43,94,100,5.37
137,Ponta Do Sol,PT,2022-02-02 01:38:19,32.6667,-17.1,68.72,50,100,12.19
138,Srednekolymsk,RU,2022-02-02 01:38:20,67.45,153.6833,-9.02,89,100,9.22
139,Korla,CN,2022-02-02 01:28:26,41.7597,86.1469,21.36,50,0,2.3
140,Caravelas,BR,2022-02-02 01:25:46,-17.7125,-39.2481,76.53,93,26,7.61
141,Coos Bay,US,2022-02-02 01:34:53,43.3665,-124.2179,44.92,91,75,6.91
142,Yellowknife,CA,2022-02-02 01:38:17,62.456,-114.3525,-27.58,87,0,4.61
143,Geraldton,AU,2022-02-02 01:31:17,-28.7667,114.6,93.61,20,0,29.93
144,Beloha,MG,2022-02-02 01:35:39,-25.1667,45.05,70.27,86,0,11.45
145,Conde,BR,2022-02-02 01:34:25,-7.2597,-34.9075,78.26,83,0,3.44
146,Manggar,ID,2022-02-02 01:38:21,-2.8833,108.2667,83.98,65,26,5.57
147,Severo-Kurilsk,RU,2022-02-02 01:32:02,50.6789,156.125,30.99,74,100,11.25
148,Hasaki,JP,2022-02-02 01:38:11,35.7333,140.8333,48.29,32,0,21.79
149,Bengkulu,ID,2022-02-02 01:34:20,-3.8004,102.2655,74.91,79,100,4.81
150,Bar Harbor,US,2022-02-02 01:38:22,44.3876,-68.2039,26.91,71,0,3.0
151,Ubinskoye,RU,2022-02-02 01:38:23,55.3068,79.6802,4.68,100,94,4.52
152,Katherine,AU,2022-02-02 01:38:23,-14.4667,132.2667,84.52,70,37,16.11
153,Port Blair,IN,2022-02-02 01:38:24,11.6667,92.75,69.84,94,20,2.3
154,Bagnols-Sur-Ceze,FR,2022-02-02 01:38:25,44.1599,4.6178,48.06,73,0,21.85
155,Hamilton,US,2022-02-02 01:37:21,39.1834,-84.5333,51.21,58,0,6.91
156,Voi,KE,2022-02-02 01:38:25,-3.3945,38.563,69.3,93,84,0.96
157,Merrill,US,2022-02-02 01:36:43,45.1805,-89.6835,17.55,62,0,11.5
158,Mangrol,IN,2022-02-02 01:38:26,21.1167,70.1167,67.44,64,1,6.58
159,South Lake Tahoe,US,2022-02-02 01:38:26,38.9332,-119.9844,30.85,40,0,3.44
160,Rio Grande,BR,2022-02-02 01:36:59,-32.035,-52.0986,69.94,66,0,10.69
161,Katsuura,JP,2022-02-02 01:38:27,35.1333,140.3,48.31,39,0,16.98
162,Tommot,RU,2022-02-02 01:30:33,58.9564,126.2925,-5.67,93,100,9.93
163,Lebu,CL,2022-02-02 01:37:33,-37.6167,-73.65,58.53,94,9,9.89
164,Vangaindrano,MG,2022-02-02 01:38:28,-23.35,47.6,73.6,81,57,3.58
165,Mehamn,NO,2022-02-02 01:30:40,71.0357,27.8492,16.88,81,90,9.84
166,Carutapera,BR,2022-02-02 01:38:29,-1.195,-46.02,77.04,90,55,7.36
167,Dikson,RU,2022-02-02 01:38:29,73.5069,80.5464,2.16,94,100,16.62
168,Tateyama,JP,2022-02-02 01:38:29,34.9833,139.8667,51.15,40,0,10.92
169,Arlit,NE,2022-02-02 01:38:30,18.7369,7.3853,58.46,17,92,5.86
170,Zhigansk,RU,2022-02-02 01:31:49,66.7697,123.3711,-26.82,99,90,9.01
171,Elektrenai,LT,2022-02-02 01:38:31,54.7667,24.6333,26.51,96,100,8.05
172,San Cristobal,VE,2022-02-02 01:30:35,7.7669,-72.225,71.78,61,99,1.57
173,Port Elizabeth,ZA,2022-02-02 01:38:31,-33.918,25.5701,74.1,88,0,2.3
174,Catu,BR,2022-02-02 01:38:31,-12.3531,-38.3789,81.52,95,0,2.91
175,Marawi,PH,2022-02-02 01:38:32,7.9986,124.2928,72.64,70,100,3.76
176,Liberal,US,2022-02-02 01:38:32,37.0431,-100.921,42.03,41,100,20.71
177,Shenjiamen,CN,2022-02-02 01:38:33,29.9576,122.298,44.19,83,100,16.06
178,Sapa,PH,2022-02-02 01:39:33,5.1544,120.3241,81.84,74,100,3.91
179,Stokmarknes,NO,2022-02-02 01:39:12,68.5646,14.9108,23.49,67,100,7.16
180,Xingyi,CN,2022-02-02 01:39:34,24.1877,102.817,45.86,88,100,4.27
181,Sao Filipe,CV,2022-02-02 01:38:19,14.8961,-24.4956,73.26,77,15,14.41
182,Bethel,US,2022-02-02 01:39:36,41.3712,-73.414,34.16,73,100,0.0
183,Rabak,SD,2022-02-02 01:39:36,13.1809,32.74,65.34,22,3,8.48
184,Thunder Bay,CA,2022-02-02 01:34:41,48.4001,-89.3168,11.28,60,20,17.27
185,Bira,RU,2022-02-02 01:39:37,49.0,132.4667,4.1,77,5,2.75
186,Adrar,MR,2022-02-02 01:39:37,20.5022,-10.0711,68.07,19,81,10.0
187,Kerouane,GN,2022-02-02 01:39:37,9.2667,-9.0167,69.08,19,99,1.59
188,Talnakh,RU,2022-02-02 01:39:24,69.4865,88.3972,2.21,95,100,7.72
189,Teseney,ER,2022-02-02 01:39:38,15.11,36.6575,67.03,64,5,6.87
190,Luwuk,ID,2022-02-02 01:35:10,-0.9516,122.7875,84.94,58,100,1.57
191,Sulangan,PH,2022-02-02 01:30:31,11.1373,123.7228,81.09,74,39,10.94
192,Lasa,IT,2022-02-02 01:26:50,46.6166,10.7002,40.46,94,100,8.9
193,Paamiut,GL,2022-02-02 01:39:39,61.994,-49.6678,4.78,91,100,11.12
194,Fairbanks,US,2022-02-02 01:35:14,64.8378,-147.7164,-15.59,73,0,0.0
195,Port Said,EG,2022-02-02 01:39:40,31.2565,32.2841,55.38,71,0,9.22
196,Dukat,RU,2022-02-02 01:39:40,62.55,155.55,-6.3,95,100,4.16
197,Vigrestad,NO,2022-02-02 01:39:41,58.5667,5.7,38.88,76,28,33.51
198,Saint-Philippe,RE,2022-02-02 01:39:41,-21.3585,55.7679,80.15,93,100,24.29
199,Leningradskiy,RU,2022-02-02 01:39:42,69.3833,178.4167,-9.2,93,35,10.96
200,Bolshevik,BY,2022-02-02 01:39:42,54.0065,27.5692,22.62,96,99,9.84
201,Sitia,GR,2022-02-02 01:39:42,35.2,26.0986,57.97,67,88,21.56
202,Tubuala,PA,2022-02-02 01:39:43,9.5167,-79.0333,78.91,74,14,10.63
203,Constitucion,CL,2022-02-02 01:39:43,-35.3333,-72.4167,57.33,93,13,3.76
204,Baykit,RU,2022-02-02 01:31:53,61.67,96.37,-12.69,100,93,0.98
205,Norman Wells,CA,2022-02-02 01:35:46,65.282,-126.8329,-25.56,75,20,0.0
206,Bonthe,SL,2022-02-02 01:39:44,7.5264,-12.505,76.73,89,99,2.59
207,Tiksi,RU,2022-02-02 01:39:45,71.6872,128.8694,-9.4,96,100,6.96
208,Akola,IN,2022-02-02 01:39:45,20.7333,77.0,64.6,46,6,0.6
209,Nome,US,2022-02-02 01:30:41,64.5011,-165.4064,19.47,53,0,34.52
210,Puerto Ayora,EC,2022-02-02 01:39:46,-0.7393,-90.3518,74.55,94,100,5.99
211,Zhanakorgan,KZ,2022-02-02 01:39:46,43.9098,67.2495,26.33,79,13,5.39
212,Hami,CN,2022-02-02 01:39:31,42.8,93.45,22.66,31,100,0.94
213,Nakonde,ZM,2022-02-02 01:39:47,-9.3421,32.745,59.18,98,100,2.51
214,Tessalit,ML,2022-02-02 01:39:31,20.1986,1.0114,60.82,20,87,11.61
215,Oistins,BB,2022-02-02 01:39:48,13.0667,-59.5333,78.89,78,75,13.8
216,Pevek,RU,2022-02-02 01:39:48,69.7008,170.3133,-6.52,80,100,3.24
217,Launceston,AU,2022-02-02 01:36:36,-41.45,147.1667,66.61,41,40,5.01
218,Chapais,CA,2022-02-02 01:39:49,49.7834,-74.8492,19.18,90,100,18.57
219,Karachi,PK,2022-02-02 01:35:03,24.9056,67.0822,64.22,88,0,3.44
220,Saldanha,ZA,2022-02-02 01:39:49,-33.0117,17.9442,66.25,97,67,12.62
221,Winnemucca,US,2022-02-02 01:39:50,40.973,-117.7357,32.05,34,0,5.75
222,Carahue,CL,2022-02-02 01:30:29,-38.7,-73.1667,61.0,98,6,3.04
223,Bonavista,CA,2022-02-02 01:40:51,48.6499,-53.1147,19.11,69,100,20.98
224,Arraial Do Cabo,BR,2022-02-02 01:40:51,-22.9661,-42.0278,75.16,100,75,0.0
225,Lorengau,PG,2022-02-02 01:40:51,-2.0226,147.2712,78.93,83,100,6.33
226,Kirovskiy,RU,2022-02-02 01:40:21,45.0917,133.5136,7.79,88,100,6.76
227,Antofagasta,CL,2022-02-02 01:36:35,-23.65,-70.4,67.28,83,9,4.12
228,Bambous Virieux,MU,2022-02-02 01:40:52,-20.3428,57.7575,79.21,94,75,25.32
229,Broome,US,2022-02-02 01:40:53,42.2506,-75.833,31.64,64,0,3.0
230,Tromso,NO,2022-02-02 01:40:14,69.6496,18.957,17.62,62,0,8.05
231,Pafos,CY,2022-02-02 01:40:54,34.7667,32.4167,60.58,67,100,12.66
232,Porosozero,RU,2022-02-02 01:40:54,62.7191,32.727,9.19,96,100,5.35
233,Luderitz,NA,2022-02-02 01:40:55,-26.6481,15.1594,63.3,92,61,8.08
234,Port Lincoln,AU,2022-02-02 01:40:55,-34.7333,135.8667,63.34,54,97,15.9
235,Torbay,CA,2022-02-02 01:30:09,47.6666,-52.7314,19.76,62,20,13.8
236,Sishui,CN,2022-02-02 01:40:56,35.6489,117.2758,39.16,28,67,3.11
237,Olanchito,HN,2022-02-02 01:40:56,15.5,-86.5667,71.44,95,1,1.63
238,Cidreira,BR,2022-02-02 01:30:39,-30.1811,-50.2056,72.64,74,0,13.4
239,Mahebourg,MU,2022-02-02 01:40:57,-20.4081,57.7,79.25,94,75,25.32
240,Caceres,ES,2022-02-02 01:40:57,39.522,-6.3748,45.81,83,0,3.8
241,Ilhabela,BR,2022-02-02 01:40:58,-23.7781,-45.3581,74.75,91,100,2.48
242,Iberia,US,2022-02-02 01:40:58,29.9502,-91.7507,64.38,100,100,9.22
243,Hofn,IS,2022-02-02 01:40:59,64.2539,-15.2082,25.5,68,72,10.92
244,Sungaipenuh,ID,2022-02-02 01:40:59,-2.0833,101.3833,62.13,95,100,1.74
245,Uruguaiana,BR,2022-02-02 01:41:00,-29.7547,-57.0883,85.93,45,0,6.91
246,Margate,GB,2022-02-02 01:41:00,51.3813,1.3862,51.04,77,100,5.99
247,Bardsir,IR,2022-02-02 01:41:00,29.9227,56.5743,33.85,84,11,3.27
248,Karpogory,RU,2022-02-02 01:41:01,64.0019,44.4451,14.36,95,100,5.77
249,Juneau,US,2022-02-02 01:40:28,58.3019,-134.4197,25.21,69,100,11.5
250,Vestmannaeyjar,IS,2022-02-02 01:41:02,63.4427,-20.2734,36.18,91,100,10.25
